split;patient_id
train;ATLAS_058
train;ATLAS_041
train;ATLAS_013
train;ATLAS_044
train;ATLAS_059
train;ATLAS_035
train;ATLAS_005
train;ATLAS_047
train;ATLAS_027
train;ATLAS_051
train;ATLAS_032
train;ATLAS_057
train;ATLAS_025
train;ATLAS_014
train;ATLAS_030
train;ATLAS_001
train;ATLAS_016
train;ATLAS_011
train;ATLAS_031
train;ATLAS_006
train;ATLAS_022
train;ATLAS_052
train;ATLAS_015
train;ATLAS_009
train;ATLAS_046
train;ATLAS_039
train;ATLAS_045
train;ATLAS_029
train;ATLAS_023
train;ATLAS_043
train;ATLAS_050
train;ATLAS_012
train;ATLAS_028
train;ATLAS_040
train;ATLAS_019
train;ATLAS_042
train;ATLAS_056
train;ATLAS_053
train;ATLAS_010
train;ATLAS_021
train;ATLAS_020
train;ATLAS_024
train;ATLAS_004
train;ATLAS_000
train;ATLAS_026
train;ATLAS_008
train;ATLAS_003
train;ATLAS_036
test;ATLAS_048
test;ATLAS_033
test;ATLAS_018
test;ATLAS_034
test;ATLAS_007
test;ATLAS_049
test;ATLAS_002
test;ATLAS_038
test;ATLAS_054
test;ATLAS_037
test;ATLAS_055
test;ATLAS_017
